"focalCrab","opponentCrab","focal_carapaceWidth","focal_chelaLength","opponent_carapaceWidth","opponent_chelaLength","fightOutcome"
2,37,65.22,31.37,59.81,36.75,"lost"
26,36,60.06,35.35,79.25,47.35,"lost"
16,60,56.38,34.96,69.07,41.95,"lost"
55,9,61.19,23.62,78.07,44.52,"lost"
27,23,76.01,48.17,56.93,30.48,"won"
46,52,63.19,41.24,75.9,55.21,"lost"
5,31,60.57,35.65,75.52,49.82,"lost"
54,10,60.45,34.84,61.99,36.12,"won"
28,47,61.65,33.79,78.83,56.87,"lost"
34,29,76.64,40.94,75.78,43.17,"lost"
8,12,67.27,43.77,76.42,58.25,"won"
56,49,64.15,35.2,66.19,46.69,"lost"
18,15,73.63,44.24,65.23,40.44,"won"
48,45,61.21,49.89,65.47,39.37,"won"
38,6,78.49,54.25,62.31,41.3,"won"
44,3,61.06,41.72,67.88,44.02,"won"
42,33,75.63,42.89,66,34.84,"won"
59,22,59.86,49.09,70.09,43.1,"won"
39,57,58.71,40.99,60.83,43.98,"lost"
13,19,73.95,47.34,77.16,48.82,"won"
4,35,64.92,40.88,57.77,43.49,"won"
24,21,65.35,41.68,70.62,42.04,"won"
50,17,58.74,39.75,69.45,38.13,"lost"
30,1,64.62,41.46,57.08,35.43,"lost"
51,53,65.52,40.79,68.05,46.08,"lost"
14,25,76.26,50.76,63.57,38.39,"won"
7,41,69.6,49.39,58.37,33.75,"won"
43,40,71.79,35.81,62.94,44.43,"lost"
32,11,62.69,51.03,74.29,45.69,"won"
20,58,55.77,40.66,73.62,52.3,"lost"
