"Year","Gender","Height","HandWidth","CountriesVisited","Handedness","Coffee","Reaction","Precision","CatsOrDogs","Entertainment"
2019,"Female",174,9,10,"Right",0,0.2828,26,"Dogs",NA
2019,"Female",171,8,7,"Right",28,0.3822,25,"Dogs",NA
2019,"Male",180,9.5,15,"Right",0,0.251,35,"Cats",NA
2019,"Female",176,10,16,"Right",12,0.259,31,"Cats",NA
2019,"Female",163,8,15,"Right",20,0.364,30,"Dogs",NA
2019,"Female",174,7,13,"Right",7,0.3226,23,"Dogs",NA
2019,"Female",174,9,17,"Right",5,0.306,37,"Dogs",NA
2019,"Female",160,8,12,"Right",14,0.3,34,"Dogs",NA
2019,"Male",186,10,19,"Right",0,0.31,32,"Cats",NA
2019,"Male",177,9,14,"Left",0,0.265,28,"Dogs",NA
2019,"Male",180,8,5,"Right",0,0.2938,20,"Cats",NA
2019,"Male",182,8.5,16,"Right",14,0.258,32,"Dogs",NA
2019,"Male",186,10,19,"Right",15,0.235,26,"Dogs",NA
2019,"Female",173,8,14,"Right",0,0.294,24,"Cats",NA
2019,"Male",182,9,24,"Left",8,0.2914,21,"Dogs",NA
2019,"Male",184,10,8,"Right",21,0.2644,27,"Cats",NA
2019,"Female",167,8.5,12,"Right",1,0.313,23,"Dogs",NA
2019,"Female",165,8,11,"Right",12,0.28,25,"Cats",NA
2019,"Male",180,11,9,"Right",0,0.37,46,"Cats",NA
2019,"Male",190,10.5,10,"Right",0,0.291,35,"Dogs",NA
2019,"Female",168,10,15,"Left",16,0.4022,24,"Dogs",NA
2019,"Female",162,6.5,7,"Left",2,0.3968,24,"Dogs",NA
2019,"Male",178,10,12,"Right",35,0.44,24,"Cats",NA
2019,"Male",193,11,34,"Right",49,0.317,30,"Cats",NA
2019,"Female",166,7.5,26,"Right",0,0.5738,19,"Dogs",NA
2019,"Female",164,7.1,20,"Right",0,0.417,25,"Dogs",NA
2019,"Female",173,8,12,"Right",5,0.273,26,NA,NA
2019,"Female",176,7.5,NA,"Right",9,0.3314,27,"Dogs",NA
2019,"Male",172,10.5,22,"Right",15,0.3321,23,"Cats",NA
2019,"Female",170,7,16,"Right",28,0.385,21,"Cats",NA
2019,"Male",180,12,15,"Right",10,0.368,19,"Dogs",NA
2019,"Female",173,8,13,"Right",5,0.388,27,"Dogs",NA
2019,"Male",179,8.3,7,"Right",10,0.267,32,"Dogs",NA
2020,"Female",172,7.3,7,"Right",0,0.3922,25,"Cats","Movie"
2020,"Female",170,7,11,"Right",0,0.3288,33,"Dogs","Sport"
2020,"Female",173,8.5,15,"Right",2,0.2978,29,"Dogs","Sport"
2020,"Female",178,8,16,"Right",14,0.2678,31,"Dogs","Pub"
2020,"Male",181,8.8,4,"Right",2,0.376,23,"Dogs","Pub"
2020,"Male",185,9,9,"Right",1,0.2128,37,"Dogs","Movie"
2020,"Female",168,7,4,"Right",0,0.92,31,"Dogs","Movie"
2020,"Male",192,8,4,"Left",14,0.25,33,"Cats","Movie"
2020,"Male",181,8,7,"Both",0,0.2558,28,"Cats","Sport"
2020,"Female",163,7,8,"Right",1,0.2828,29,"Cats","Movie"
2020,"Female",163,8.5,3,"Right",0,0.2952,27,"Cats","Movie"
2020,"Female",161,8.5,3,"Right",0,0.3194,32,"Cats","Boardgames"
2020,"Female",167,8,11,"Right",0,0.262,34,"Dogs","Pub"
2020,"Male",200,9,10,"Right",0,0.298,40,"Dogs","Movie"
2020,"Female",161,8,10,"Right",0,0.2452,41,"Dogs","Movie"
2020,"Female",153,7,8,"Left",0,0.3036,29,"Dogs","Movie"
2020,"Female",163,8.5,22,"Right",21,0.2814,30,"Dogs","Movie"
2020,"Female",167,8,8,"Right",0,0.3494,30,"Dogs","Movie"
2020,"Male",173,8.5,8,"Left",0,0.237,39,"Cats","Movie"
2020,"Female",176,9,17,"Right",0,0.35,23,"Dogs","Boardgames"
2020,"Male",188,9,16,"Right",10,0.279,30,"Dogs","Sport"
2020,"Male",197,9.5,8,"Right",32,0.213,40,"Dogs","Boardgames"
2020,"Male",192,9,15,"Right",10,0.356,24,"Dogs","Pub"
2020,"Female",161,7.3,12,"Right",17,0.217199999999999,36,"Dogs","Boardgames"
2021,"Female",181,9,13,"Right",20,0.363,36,"Dogs","Boardgames"
2021,"Female",168,7,15,"Right",1,0.3458,26,NA,"Movie"
2021,"Female",158,7.5,13,"Right",0,0.305799999999999,46,"Dogs","Boardgames"
2021,"Female",163,NA,NA,"Right",2,NA,NA,"Dogs","Sport"
2021,"Female",163,8,22,"Right",2,0.282599999999999,32,"Dogs","Sport"
2021,"Female",170,9.5,17,"Right",14,0.85,28,"Dogs","Boardgames"
2021,"Male",194,9,21,"Right",14,0.271,33,"Dogs","Movie"
2021,"Male",181,9.7,25,"Right",0,0.275999999999999,28,"Cats","Pub"
2021,"Female",177,8.5,18,"Right",0,0.325,29,"Cats","Pub"
2021,"Male",184,9.4,13,"Right",0,0.232,30,"Cats","Boardgames"
2021,"Male",176,9,15,"Right",5,0.2642,37,"Cats","Movie"
2021,"Female",164,10,14,"Right",14,NA,26,"Dogs","Sport"
2021,"Male",174,9,12,"Right",21,0.2262,38,"Dogs","Movie"
2021,"Female",174,NA,15,"Right",0,0.3092,31,"Dogs","Movie"
2021,"Prefer not to say",180,9.5,13,"Right",70,0.2976,25,"Cats","Sport"
2021,"Female",175,9.4,3,"Right",16,0.2502,23,"Dogs","Movie"
2021,"Female",166,7.7,17,"Right",5,0.431,33,"Dogs","Movie"
2021,"Female",178,8.4,17,"Right",0,0.2566,29,"Cats","Boardgames"
2021,"Female",161,7,11,"Right",1,0.2622,30,"Dogs","Sport"
2021,"Male",184,9,7,"Left",0,0.2946,31,"Cats","Boardgames"
2021,"Female",167,9,11,"Right",5,0.2672,31,"Dogs","Pub"
2021,"Male",177,9,4,"Right",0,0.2512,32,"Dogs","Boardgames"
2021,"Male",177,8.8,18,"Right",18,0.235,37,"Dogs","Sport"
2021,"Male",170,8.3,15,"Right",10,0.3074,29,"Dogs","Sport"
2021,"Male",195,9.8,14,"Right",15,0.216,37,"Dogs","Boardgames"
2021,"Male",195,9.8,14,"Right",15,0.216,37,"Dogs","Boardgames"
2021,"Male",189,8,6,"Right",14,0.2622,31,"Dogs","Boardgames"
2021,"Female",173,8,5,"Right",0,0.9,27,"Dogs","Boardgames"
2021,"Female",164,8.3,17,"Right",7,0.6536,30,"Dogs","Movie"
2021,"Female",168,9,13,"Left",5,0.793,26,"Dogs","Boardgames"
2021,"Female",164,8,9,"Right",14,0.3528,20,"Dogs","Boardgames"
2021,"Male",182,10,33,"Right",0,0.37,20,"Cats","Boardgames"
2021,"Male",183,9,6,"Right",0,0.3434,27,"Dogs","Movie"
2021,"Male",189,10,2,"Right",0,0.3274,35,"Dogs","Boardgames"
2021,"Female",171,7,15,"Left",12,0.29,31,"Cats","Boardgames"
2022,"Male",175,7,16,"Right",5,0.257,24,"Cats","Pub"
2022,"Female",172,7,19,"Right",0,0.47,25,"Dogs","Boardgames"
2022,"Female",164,7,10,"Right",0,0.2858,25,"Dogs","Sport"
2022,"Female",181,8,10,"Right",0,0.3258,32,"Dogs","Boardgames"
2022,"Female",160,7.5,5,"Right",23,0.378,35,"Dogs","Boardgames"
2022,"Male",186,8.7,8,"Right",17,0.2808,27,"Dogs","Boardgames"
2022,"Male",178,8.5,19,"Left",0,0.2326,27,"Dogs","Movie"
2022,"Female",175,8,15,"Right",0,0.261,27,"Dogs","Boardgames"
2022,"Male",180,8.5,14,"Right",0,0.3034,29,"Dogs","Movie"
2022,"Female",163,8,15,"Right",0,0.3064,29,"Dogs","Movie"
2022,"Female",170,8.1,12,"Left",8,0.3496,33,"Dogs","Movie"
2022,"Female",157,7,12,"Right",14,0.3767999999999,20,"Cats","Sport"
2022,"Female",185,7.5,5,"Right",0,0.2778,33,"Dogs","Movie"
2022,"Male",192,9,8,"Left",0,0.2486,45,"Cats","Boardgames"
2022,"Female",167,9,12,"Left",14,0.2086,30,"Dogs","Movie"
